Run Report
Total Files - 265
Failed Files

Detailed Report
File: 10-K_or_equivalent-txt\ABBV\ABBV_2012_10-K.txt,       Initial length: 326267 c, Final length: 232787 c, Chars removed: 93480 c, Header removed: 2954 c, Signatures removed: 9335 c, Exhibits removed: 711 c, Digits removed: 8856 c, Symbols removed: 8033 c, Stopwords removed: 16079 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2013_10-K.txt,       Initial length: 343456 c, Final length: 242812 c, Chars removed: 100644 c, Header removed: 3180 c, Signatures removed: 10718 c, Exhibits removed: 716 c, Digits removed: 10495 c, Symbols removed: 8887 c, Stopwords removed: 16723 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2014_10-K.txt,       Initial length: 354634 c, Final length: 251712 c, Chars removed: 102922 c, Header removed: 3180 c, Signatures removed: 10193 c, Exhibits removed: 716 c, Digits removed: 11192 c, Symbols removed: 9258 c, Stopwords removed: 17133 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2015_10-K.txt,       Initial length: 369929 c, Final length: 261067 c, Chars removed: 108862 c, Header removed: 3247 c, Signatures removed: 9540 c, Exhibits removed: 736 c, Digits removed: 12594 c, Symbols removed: 10414 c, Stopwords removed: 17724 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2016_10-K.txt,       Initial length: 378846 c, Final length: 265113 c, Chars removed: 113733 c, Header removed: 3250 c, Signatures removed: 14345 c, Exhibits removed: 732 c, Digits removed: 13483 c, Symbols removed: 10696 c, Stopwords removed: 17601 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2017_10-K.txt,       Initial length: 369277 c, Final length: 257625 c, Chars removed: 111652 c, Header removed: 3529 c, Signatures removed: 1507 c, Exhibits removed: 13895 c, Digits removed: 13379 c, Symbols removed: 10521 c, Stopwords removed: 16955 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2018_10-K.txt,       Initial length: 361208 c, Final length: 250662 c, Chars removed: 110546 c, Header removed: 3417 c, Signatures removed: 1568 c, Exhibits removed: 14898 c, Digits removed: 13405 c, Symbols removed: 10635 c, Stopwords removed: 16309 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2019_10-K.txt,       Initial length: 366951 c, Final length: 254922 c, Chars removed: 112029 c, Header removed: 3332 c, Signatures removed: 1571 c, Exhibits removed: 15552 c, Digits removed: 13375 c, Symbols removed: 10802 c, Stopwords removed: 16490 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2021_10-K.txt,       Initial length: 404213 c, Final length: 281715 c, Chars removed: 122498 c, Header removed: 3917 c, Signatures removed: 1662 c, Exhibits removed: 15551 c, Digits removed: 14719 c, Symbols removed: 11974 c, Stopwords removed: 18221 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2020_10-K.txt,       Initial length: 410318 c, Final length: 287250 c, Chars removed: 123068 c, Header removed: 3973 c, Signatures removed: 1635 c, Exhibits removed: 15811 c, Digits removed: 13846 c, Symbols removed: 12234 c, Stopwords removed: 18493 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2001_10-K.txt,       Initial length: 332563 c, Final length: 213824 c, Chars removed: 118739 c, Header removed: 1914 c, Signatures removed: 15447 c, Exhibits removed: 10627 c, Digits removed: 13984 c, Symbols removed: 9626 c, Stopwords removed: 16454 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2022_10-K.txt,       Initial length: 400145 c, Final length: 277784 c, Chars removed: 122361 c, Header removed: 4425 c, Signatures removed: 1571 c, Exhibits removed: 17233 c, Digits removed: 14413 c, Symbols removed: 11590 c, Stopwords removed: 17891 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2000_10-K.txt,       Initial length: 159253 c, Final length: 97098 c, Chars removed: 62155 c, Header removed: 1820 c, Signatures removed: 0 c, Exhibits removed: 11070 c, Digits removed: 9576 c, Symbols removed: 11209 c, Stopwords removed: 6729 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2002_10-K.txt,       Initial length: 328610 c, Final length: 219867 c, Chars removed: 108743 c, Header removed: 2290 c, Signatures removed: 332 c, Exhibits removed: 12381 c, Digits removed: 15052 c, Symbols removed: 10266 c, Stopwords removed: 16795 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\ABBV\ABBV_2023_10-K.txt,       Initial length: 404977 c, Final length: 281042 c, Chars removed: 123935 c, Header removed: 4364 c, Signatures removed: 1718 c, Exhibits removed: 17744 c, Digits removed: 14385 c, Symbols removed: 11842 c, Stopwords removed: 18091 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2004_10-K.txt,       Initial length: 590161 c, Final length: 172290 c, Chars removed: 417871 c, Header removed: 333002 c, Signatures removed: 0 c, Exhibits removed: 12239 c, Digits removed: 10825 c, Symbols removed: 8100 c, Stopwords removed: 13087 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2003_10-K.txt,       Initial length: 483352 c, Final length: 319352 c, Chars removed: 164000 c, Header removed: 2233 c, Signatures removed: 15772 c, Exhibits removed: 14841 c, Digits removed: 18280 c, Symbols removed: 14501 c, Stopwords removed: 24261 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2005_10-K.txt,       Initial length: 608833 c, Final length: 407735 c, Chars removed: 201098 c, Header removed: 2850 c, Signatures removed: 15543 c, Exhibits removed: 14146 c, Digits removed: 21678 c, Symbols removed: 18666 c, Stopwords removed: 31847 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2006_10-K.txt,       Initial length: 690385 c, Final length: 461965 c, Chars removed: 228420 c, Header removed: 2744 c, Signatures removed: 16974 c, Exhibits removed: 15787 c, Digits removed: 24444 c, Symbols removed: 21687 c, Stopwords removed: 36473 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2007_10-K.txt,       Initial length: 669529 c, Final length: 446495 c, Chars removed: 223034 c, Header removed: 2851 c, Signatures removed: 18300 c, Exhibits removed: 16781 c, Digits removed: 25626 c, Symbols removed: 20901 c, Stopwords removed: 34332 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2008_10-K.txt,       Initial length: 574836 c, Final length: 380613 c, Chars removed: 194223 c, Header removed: 2896 c, Signatures removed: 18259 c, Exhibits removed: 16927 c, Digits removed: 22190 c, Symbols removed: 18308 c, Stopwords removed: 28159 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2009_10-K.txt,       Initial length: 549456 c, Final length: 370539 c, Chars removed: 178917 c, Header removed: 3262 c, Signatures removed: 23914 c, Exhibits removed: 881 c, Digits removed: 21764 c, Symbols removed: 17930 c, Stopwords removed: 27083 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2010_10-K.txt,       Initial length: 576475 c, Final length: 393342 c, Chars removed: 183133 c, Header removed: 3261 c, Signatures removed: 23528 c, Exhibits removed: 797 c, Digits removed: 20804 c, Symbols removed: 18116 c, Stopwords removed: 28636 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2014_10-K.txt,       Initial length: 465769 c, Final length: 316974 c, Chars removed: 148795 c, Header removed: 3341 c, Signatures removed: 22079 c, Exhibits removed: 723 c, Digits removed: 16525 c, Symbols removed: 14420 c, Stopwords removed: 22583 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2012_10-K.txt,       Initial length: 499454 c, Final length: 337260 c, Chars removed: 162194 c, Header removed: 3246 c, Signatures removed: 0 c, Exhibits removed: 26594 c, Digits removed: 17793 c, Symbols removed: 15468 c, Stopwords removed: 24440 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2013_10-K.txt,       Initial length: 495751 c, Final length: 334947 c, Chars removed: 160804 c, Header removed: 3346 c, Signatures removed: 0 c, Exhibits removed: 25531 c, Digits removed: 17863 c, Symbols removed: 15376 c, Stopwords removed: 24320 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2011_10-K.txt,       Initial length: 485062 c, Final length: 329943 c, Chars removed: 155119 c, Header removed: 3250 c, Signatures removed: 21318 c, Exhibits removed: 757 c, Digits removed: 17149 c, Symbols removed: 15021 c, Stopwords removed: 24065 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2018_10-K.txt,       Initial length: 452264 c, Final length: 307037 c, Chars removed: 145227 c, Header removed: 3970 c, Signatures removed: 0 c, Exhibits removed: 27864 c, Digits removed: 14771 c, Symbols removed: 12807 c, Stopwords removed: 21308 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2017_10-K.txt,       Initial length: 433352 c, Final length: 292476 c, Chars removed: 140876 c, Header removed: 3770 c, Signatures removed: 0 c, Exhibits removed: 27898 c, Digits removed: 14945 c, Symbols removed: 12186 c, Stopwords removed: 20329 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2015_10-K.txt,       Initial length: 470074 c, Final length: 319740 c, Chars removed: 150334 c, Header removed: 3434 c, Signatures removed: 23195 c, Exhibits removed: 723 c, Digits removed: 16690 c, Symbols removed: 14423 c, Stopwords removed: 22702 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2016_10-K.txt,       Initial length: 430435 c, Final length: 287627 c, Chars removed: 142808 c, Header removed: 3434 c, Signatures removed: 0 c, Exhibits removed: 30137 c, Digits removed: 15314 c, Symbols removed: 12075 c, Stopwords removed: 20206 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2019_10-K.txt,       Initial length: 516553 c, Final length: 349262 c, Chars removed: 167291 c, Header removed: 4077 c, Signatures removed: 0 c, Exhibits removed: 37870 c, Digits removed: 15746 c, Symbols removed: 14807 c, Stopwords removed: 23520 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2020_10-K.txt,       Initial length: 562519 c, Final length: 381923 c, Chars removed: 180596 c, Header removed: 3980 c, Signatures removed: 0 c, Exhibits removed: 39193 c, Digits removed: 17000 c, Symbols removed: 16336 c, Stopwords removed: 25913 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2022_10-K.txt,       Initial length: 515097 c, Final length: 353692 c, Chars removed: 161405 c, Header removed: 3988 c, Signatures removed: 0 c, Exhibits removed: 32133 c, Digits removed: 14439 c, Symbols removed: 14877 c, Stopwords removed: 24014 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2021_10-K.txt,       Initial length: 559102 c, Final length: 384867 c, Chars removed: 174235 c, Header removed: 3988 c, Signatures removed: 0 c, Exhibits removed: 33571 c, Digits removed: 15315 c, Symbols removed: 15614 c, Stopwords removed: 26625 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\BMY\BMY_2023_10-K.txt,       Initial length: 544206 c, Final length: 374809 c, Chars removed: 169397 c, Header removed: 4512 c, Signatures removed: 0 c, Exhibits removed: 33744 c, Digits removed: 14620 c, Symbols removed: 15377 c, Stopwords removed: 25437 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2001_10-K.txt,       Initial length: 347452 c, Final length: 233093 c, Chars removed: 114359 c, Header removed: 2029 c, Signatures removed: 14572 c, Exhibits removed: 0 c, Digits removed: 11402 c, Symbols removed: 9667 c, Stopwords removed: 19337 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2002_10-K.txt,       Initial length: 338250 c, Final length: 230812 c, Chars removed: 107438 c, Header removed: 2138 c, Signatures removed: 9878 c, Exhibits removed: 0 c, Digits removed: 11564 c, Symbols removed: 9752 c, Stopwords removed: 18698 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2003_10-K.txt,       Initial length: 327462 c, Final length: 228100 c, Chars removed: 99362 c, Header removed: 2073 c, Signatures removed: 2485 c, Exhibits removed: 0 c, Digits removed: 12060 c, Symbols removed: 10055 c, Stopwords removed: 18204 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2000_10-K.txt,       Initial length: 324004 c, Final length: 213447 c, Chars removed: 110557 c, Header removed: 2429 c, Signatures removed: 2935 c, Exhibits removed: 0 c, Digits removed: 10951 c, Symbols removed: 24342 c, Stopwords removed: 17435 c, is_10K: True, Status: Success
File: 10-K_or_equivalent-txt\GILD\GILD_2004_10-K.txt,       Initial length: 314822 c, Final length: 219495 c, Chars removed: 95327 c, Header removed: 2076 c, Signatures removed: 2488 c, Exhibits removed: 0 c, Digits removed: 12670 c, Symbols removed: 9735 c, Stopwords removed: 17006 c, is_10K: True, Status: Success
